customer_id,first_name,last_name,email,city,signup_date
1,Napat,Srisuk,napat.srisuk1@example.com,Bangkok,2025-04-08
2,Pim,Meesuk,pim.meesuk2@example.com,Samut Prakan,2024-10-13
3,Sarawut,Chaiyo,sarawut.chaiyo3@example.com,Bangkok,2025-09-06
4,Anan,Wongsawat,anan.wongsawat4@example.com,Nonthaburi,2025-02-24
5,Somchai,Jaidee,somchai.jaidee5@example.com,Samut Prakan,2025-01-20
6,Sarawut,Saetang,sarawut.saetang6@example.com,Bangkok,2025-02-11
7,Suda,Charoen,suda.charoen7@example.com,Pathum Thani,2024-07-07
8,Krit,Meesuk,krit.meesuk8@example.com,Bangkok,2025-09-06
9,Pim,Wongsawat,pim.wongsawat9@example.com,Bangkok,2025-06-10
10,Nida,Chaiyo,nida.chaiyo10@example.com,Pathum Thani,2025-07-03
11,Thira,Kaewmanee,thira.kaewmanee11@example.com,Samut Prakan,2024-08-14
12,Sarawut,Chaiyo,sarawut.chaiyo12@example.com,Bangkok,2025-07-23
13,Wichai,Pattana,wichai.pattana13@example.com,Nonthaburi,2025-07-06
14,Anan,Srisuk,anan.srisuk14@example.com,Pathum Thani,2025-02-19
15,Anan,Pattana,anan.pattana15@example.com,Chiang Mai,2025-02-24
16,Nida,Kaewmanee,nida.kaewmanee16@example.com,Nonthaburi,2025-10-08
17,Chai,Boonmee,chai.boonmee17@example.com,Bangkok,2025-07-15
18,Suda,Meesuk,suda.meesuk18@example.com,Nonthaburi,2024-09-12
19,Krit,Jaidee,krit.jaidee19@example.com,Bangkok,2025-03-08
20,Nida,Kaewmanee,nida.kaewmanee20@example.com,Samut Prakan,2025-02-10
21,Malee,Wongsawat,malee.wongsawat21@example.com,Pathum Thani,2024-08-02
22,Nida,Kaewmanee,nida.kaewmanee22@example.com,Bangkok,2024-09-06
23,Lalita,Intarasak,lalita.intarasak23@example.com,Bangkok,2025-05-19
24,Piti,Saetang,piti.saetang24@example.com,Bangkok,2025-10-13
25,Pim,Wongsawat,pim.wongsawat25@example.com,Samut Prakan,2025-03-27
26,Arun,Intarasak,arun.intarasak26@example.com,Bangkok,2025-08-13
27,Pim,Jaidee,pim.jaidee27@example.com,Bangkok,2025-11-18
28,Malee,Pattana,malee.pattana28@example.com,Bangkok,2024-10-21
29,Krit,Charoen,krit.charoen29@example.com,Nonthaburi,2025-09-06
30,Nida,Saetang,nida.saetang30@example.com,Nonthaburi,2025-10-23
31,Sarawut,Pattana,sarawut.pattana31@example.com,Samut Prakan,2024-07-12
32,Napat,Sukjai,napat.sukjai32@example.com,Pathum Thani,2025-03-31
33,Mali,Chaiyo,mali.chaiyo33@example.com,Bangkok,2025-04-27
34,Kanya,Srisuk,kanya.srisuk34@example.com,Khon Kaen,2025-03-27
35,Krit,Jaidee,krit.jaidee35@example.com,Chiang Mai,2024-10-17
36,Wichai,Pattana,wichai.pattana36@example.com,Bangkok,2025-01-20
37,Krit,Jaidee,krit.jaidee37@example.com,Nonthaburi,2024-07-01
38,Piti,Srisuk,piti.srisuk38@example.com,Chiang Mai,2024-10-23
39,Wichai,Wongsawat,wichai.wongsawat39@example.com,Bangkok,2024-08-29
40,Lalita,Chaiyo,lalita.chaiyo40@example.com,Samut Prakan,2024-09-26
41,Anan,Charoen,anan.charoen41@example.com,Bangkok,2024-11-06
42,Piti,Jaidee,piti.jaidee42@example.com,Bangkok,2024-12-17
43,Thira,Saetang,thira.saetang43@example.com,Chiang Mai,2025-02-02
44,Ploy,Meesuk,ploy.meesuk44@example.com,Bangkok,2025-05-16
45,Chai,Rattanakul,chai.rattanakul45@example.com,Bangkok,2025-10-06
46,Tanawat,Chaiyo,tanawat.chaiyo46@example.com,Bangkok,2025-06-12
47,Sarawut,Wongsawat,sarawut.wongsawat47@example.com,Bangkok,2025-02-11
48,Malee,Wongsawat,malee.wongsawat48@example.com,Chiang Mai,2024-09-08
49,Mali,Chaiyo,mali.chaiyo49@example.com,Bangkok,2025-03-01
50,Piti,Wongsawat,piti.wongsawat50@example.com,Samut Prakan,2024-11-13
51,Lalita,Phromma,lalita.phromma51@example.com,Bangkok,2025-10-28
52,Piti,Charoen,piti.charoen52@example.com,Bangkok,2025-08-21
53,Napat,Sukjai,napat.sukjai53@example.com,Bangkok,2025-09-15
54,Arun,Rattanakul,arun.rattanakul54@example.com,Samut Prakan,2024-08-25
55,Napat,Srisuk,napat.srisuk55@example.com,Samut Prakan,2025-08-17
56,Napat,Wongsawat,napat.wongsawat56@example.com,Bangkok,2025-01-13
57,Kanya,Boonmee,kanya.boonmee57@example.com,Bangkok,2025-09-06
58,Kanya,Wongsawat,kanya.wongsawat58@example.com,Bangkok,2024-09-16
59,Sarawut,Chaiyo,sarawut.chaiyo59@example.com,Samut Prakan,2024-08-21
60,Sarawut,Pattana,sarawut.pattana60@example.com,Khon Kaen,2024-07-16
61,Tanawat,Boonmee,tanawat.boonmee61@example.com,Bangkok,2025-08-21
62,Ploy,Pattana,ploy.pattana62@example.com,Chiang Mai,2025-08-15
63,Krit,Saetang,krit.saetang63@example.com,Khon Kaen,2024-07-03
64,Suda,Intarasak,suda.intarasak64@example.com,Bangkok,2025-10-09
65,Sarawut,Sukjai,sarawut.sukjai65@example.com,Bangkok,2025-11-11
66,Wichai,Wongsawat,wichai.wongsawat66@example.com,Nonthaburi,2024-08-29
67,Sarawut,Srisuk,sarawut.srisuk67@example.com,Bangkok,2025-05-18
68,Lalita,Rattanakul,lalita.rattanakul68@example.com,Chiang Mai,2025-11-27
69,Rattana,Boonmee,rattana.boonmee69@example.com,Khon Kaen,2024-08-28
70,Anan,Pattana,anan.pattana70@example.com,Bangkok,2025-01-07
71,Anan,Sukjai,anan.sukjai71@example.com,Bangkok,2025-02-26
72,Lalita,Wongsawat,lalita.wongsawat72@example.com,Nonthaburi,2024-08-10
73,Arun,Sukjai,arun.sukjai73@example.com,Khon Kaen,2025-05-20
